user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
99066c64-ae14-4775-82b7-5f7ac06d76ed,DeviceInfo,application,2026-01-05 09:10:30.373000+05:30,2026-01-05,Monday,'09:10:30.373000
99066c64-ae14-4775-82b7-5f7ac06d76ed,Session Started,system,2026-01-05 09:10:30.599000+05:30,2026-01-05,Monday,'09:10:30.599000
99066c64-ae14-4775-82b7-5f7ac06d76ed,App Installed,system,2026-01-05 09:10:30.621000+05:30,2026-01-05,Monday,'09:10:30.621000
99066c64-ae14-4775-82b7-5f7ac06d76ed,Journey Started,system,2026-01-05 09:10:30.762000+05:30,2026-01-05,Monday,'09:10:30.762000
99066c64-ae14-4775-82b7-5f7ac06d76ed,app_start,application,2026-01-05 09:10:31.132000+05:30,2026-01-05,Monday,'09:10:31.132000
99066c64-ae14-4775-82b7-5f7ac06d76ed,Push Subscribe Process - Device Registered (Push),system,2026-01-05 09:10:32.755000+05:30,2026-01-05,Monday,'09:10:32.755000
99066c64-ae14-4775-82b7-5f7ac06d76ed,choose_language,application,2026-01-05 09:10:33.966000+05:30,2026-01-05,Monday,'09:10:33.966000
99066c64-ae14-4775-82b7-5f7ac06d76ed,Onboarding_Language,application,2026-01-05 09:10:33.976000+05:30,2026-01-05,Monday,'09:10:33.976000
99066c64-ae14-4775-82b7-5f7ac06d76ed,generate_otp,application,2026-01-05 09:10:42.653000+05:30,2026-01-05,Monday,'09:10:42.653000
99066c64-ae14-4775-82b7-5f7ac06d76ed,Onboarding_get_otp,application,2026-01-05 09:10:42.663000+05:30,2026-01-05,Monday,'09:10:42.663000
99066c64-ae14-4775-82b7-5f7ac06d76ed,Journey Ended,system,2026-01-05 09:10:42.967000+05:30,2026-01-05,Monday,'09:10:42.967000
99066c64-ae14-4775-82b7-5f7ac06d76ed,Journey Started,system,2026-01-05 09:10:42.967000+05:30,2026-01-05,Monday,'09:10:42.967000
99066c64-ae14-4775-82b7-5f7ac06d76ed,_auth_generate-otp,application,2026-01-05 09:10:45.333000+05:30,2026-01-05,Monday,'09:10:45.333000
99066c64-ae14-4775-82b7-5f7ac06d76ed,get_otp,application,2026-01-05 09:10:45.342000+05:30,2026-01-05,Monday,'09:10:45.342000
99066c64-ae14-4775-82b7-5f7ac06d76ed,Onboarding_signup_,application,2026-01-05 09:10:45.363000+05:30,2026-01-05,Monday,'09:10:45.363000
99066c64-ae14-4775-82b7-5f7ac06d76ed,verify_otp,application,2026-01-05 09:10:48.168000+05:30,2026-01-05,Monday,'09:10:48.168000
99066c64-ae14-4775-82b7-5f7ac06d76ed,_auth_verify-otp,application,2026-01-05 09:10:48.384000+05:30,2026-01-05,Monday,'09:10:48.384000
99066c64-ae14-4775-82b7-5f7ac06d76ed,enter_otp,application,2026-01-05 09:10:48.406000+05:30,2026-01-05,Monday,'09:10:48.406000
99066c64-ae14-4775-82b7-5f7ac06d76ed,User Login,system,2026-01-05 09:10:48.416000+05:30,2026-01-05,Monday,'09:10:48.416000
99066c64-ae14-4775-82b7-5f7ac06d76ed,login,application,2026-01-05 09:10:48.641000+05:30,2026-01-05,Monday,'09:10:48.641000
99066c64-ae14-4775-82b7-5f7ac06d76ed,_user,application,2026-01-05 09:10:48.648000+05:30,2026-01-05,Monday,'09:10:48.648000
99066c64-ae14-4775-82b7-5f7ac06d76ed,_location_from-town,application,2026-01-05 09:10:49.061000+05:30,2026-01-05,Monday,'09:10:49.061000
99066c64-ae14-4775-82b7-5f7ac06d76ed,Onboarding_Profile Saved,application,2026-01-05 09:10:49.714000+05:30,2026-01-05,Monday,'09:10:49.714000
99066c64-ae14-4775-82b7-5f7ac06d76ed,_user,application,2026-01-05 09:11:16.459000+05:30,2026-01-05,Monday,'09:11:16.459000
99066c64-ae14-4775-82b7-5f7ac06d76ed,Session Started,system,2026-01-05 09:12:56.134000+05:30,2026-01-05,Monday,'09:12:56.134000
99066c64-ae14-4775-82b7-5f7ac06d76ed,Push Failure,system,2026-01-06 09:10:55.307000+05:30,2026-01-06,Tuesday,'09:10:55.307000
