user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Sent,system,2025-12-20 12:59:31.503000+05:30,2025-12-20,Saturday,'12:59:31.503000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Delivered,system,2025-12-20 12:59:32.004000+05:30,2025-12-20,Saturday,'12:59:32.004000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Impression,system,2025-12-20 12:59:32.047000+05:30,2025-12-20,Saturday,'12:59:32.047000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Dismiss,system,2025-12-20 13:32:49.008000+05:30,2025-12-20,Saturday,'13:32:49.008000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Sent,system,2025-12-21 12:59:50.541000+05:30,2025-12-21,Sunday,'12:59:50.541000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Delivered,system,2025-12-21 12:59:51.069000+05:30,2025-12-21,Sunday,'12:59:51.069000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Impression,system,2025-12-21 12:59:51.107000+05:30,2025-12-21,Sunday,'12:59:51.107000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Dismiss,system,2025-12-21 13:25:59.957000+05:30,2025-12-21,Sunday,'13:25:59.957000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Delivered,system,2025-12-22 18:01:21.307000+05:30,2025-12-22,Monday,'18:01:21.307000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Impression,system,2025-12-22 18:01:21.346000+05:30,2025-12-22,Monday,'18:01:21.346000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Sent,system,2025-12-22 18:01:21.717000+05:30,2025-12-22,Monday,'18:01:21.717000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Dismiss,system,2025-12-22 18:01:52.314000+05:30,2025-12-22,Monday,'18:01:52.314000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Delivered,system,2025-12-23 12:59:10.098000+05:30,2025-12-23,Tuesday,'12:59:10.098000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Impression,system,2025-12-23 12:59:10.136000+05:30,2025-12-23,Tuesday,'12:59:10.136000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Sent,system,2025-12-23 12:59:10.991000+05:30,2025-12-23,Tuesday,'12:59:10.991000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Dismiss,system,2025-12-23 13:15:46.652000+05:30,2025-12-23,Tuesday,'13:15:46.652000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Sent,system,2025-12-24 17:59:42.511000+05:30,2025-12-24,Wednesday,'17:59:42.511000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Delivered,system,2025-12-24 17:59:43.449000+05:30,2025-12-24,Wednesday,'17:59:43.449000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Impression,system,2025-12-24 17:59:43.477000+05:30,2025-12-24,Wednesday,'17:59:43.477000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Dismiss,system,2025-12-24 18:17:30.698000+05:30,2025-12-24,Wednesday,'18:17:30.698000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Sent,system,2025-12-25 13:00:04.886000+05:30,2025-12-25,Thursday,'13:00:04.886000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Delivered,system,2025-12-25 13:00:06.241000+05:30,2025-12-25,Thursday,'13:00:06.241000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Impression,system,2025-12-25 13:00:06.301000+05:30,2025-12-25,Thursday,'13:00:06.301000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Dismiss,system,2025-12-25 13:55:13.035000+05:30,2025-12-25,Thursday,'13:55:13.035000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Sent,system,2025-12-26 17:59:44.292000+05:30,2025-12-26,Friday,'17:59:44.292000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Delivered,system,2025-12-26 17:59:44.419000+05:30,2025-12-26,Friday,'17:59:44.419000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Impression,system,2025-12-26 17:59:44.456000+05:30,2025-12-26,Friday,'17:59:44.456000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Dismiss,system,2025-12-26 19:21:41.756000+05:30,2025-12-26,Friday,'19:21:41.756000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Sent,system,2025-12-27 12:59:33.042000+05:30,2025-12-27,Saturday,'12:59:33.042000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Delivered,system,2025-12-27 12:59:33.574000+05:30,2025-12-27,Saturday,'12:59:33.574000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Impression,system,2025-12-27 12:59:33.606000+05:30,2025-12-27,Saturday,'12:59:33.606000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Dismiss,system,2025-12-27 13:02:37.894000+05:30,2025-12-27,Saturday,'13:02:37.894000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Sent,system,2025-12-28 13:00:10.484000+05:30,2025-12-28,Sunday,'13:00:10.484000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Delivered,system,2025-12-28 13:00:10.921000+05:30,2025-12-28,Sunday,'13:00:10.921000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Impression,system,2025-12-28 13:00:10.951000+05:30,2025-12-28,Sunday,'13:00:10.951000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Dismiss,system,2025-12-28 13:06:03.194000+05:30,2025-12-28,Sunday,'13:06:03.194000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Delivered,system,2025-12-29 18:00:26.981000+05:30,2025-12-29,Monday,'18:00:26.981000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Impression,system,2025-12-29 18:00:27.001000+05:30,2025-12-29,Monday,'18:00:27.001000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Sent,system,2025-12-29 18:00:27.497000+05:30,2025-12-29,Monday,'18:00:27.497000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Dismiss,system,2025-12-29 19:45:56.475000+05:30,2025-12-29,Monday,'19:45:56.475000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Delivered,system,2025-12-30 12:59:23.078000+05:30,2025-12-30,Tuesday,'12:59:23.078000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Impression,system,2025-12-30 12:59:23.110000+05:30,2025-12-30,Tuesday,'12:59:23.110000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Sent,system,2025-12-30 12:59:23.822000+05:30,2025-12-30,Tuesday,'12:59:23.822000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Dismiss,system,2025-12-30 13:18:21.283000+05:30,2025-12-30,Tuesday,'13:18:21.283000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Sent,system,2025-12-31 17:59:36.224000+05:30,2025-12-31,Wednesday,'17:59:36.224000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Delivered,system,2025-12-31 17:59:36.742000+05:30,2025-12-31,Wednesday,'17:59:36.742000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Impression,system,2025-12-31 17:59:36.766000+05:30,2025-12-31,Wednesday,'17:59:36.766000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Dismiss,system,2025-12-31 18:00:57.795000+05:30,2025-12-31,Wednesday,'18:00:57.795000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Sent,system,2026-01-01 12:59:27.961000+05:30,2026-01-01,Thursday,'12:59:27.961000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Delivered,system,2026-01-01 12:59:28.375000+05:30,2026-01-01,Thursday,'12:59:28.375000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Impression,system,2026-01-01 12:59:28.402000+05:30,2026-01-01,Thursday,'12:59:28.402000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Dismiss,system,2026-01-01 13:19:00.095000+05:30,2026-01-01,Thursday,'13:19:00.095000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Delivered,system,2026-01-02 17:59:40.691000+05:30,2026-01-02,Friday,'17:59:40.691000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Impression,system,2026-01-02 17:59:40.721000+05:30,2026-01-02,Friday,'17:59:40.721000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Sent,system,2026-01-02 17:59:41.043000+05:30,2026-01-02,Friday,'17:59:41.043000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Dismiss,system,2026-01-02 18:09:54.041000+05:30,2026-01-02,Friday,'18:09:54.041000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Delivered,system,2026-01-03 13:00:10.162000+05:30,2026-01-03,Saturday,'13:00:10.162000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Impression,system,2026-01-03 13:00:10.193000+05:30,2026-01-03,Saturday,'13:00:10.193000
59ce5983-44a1-4bad-9bce-a4680cdca725,Push Sent,system,2026-01-03 13:00:10.439000+05:30,2026-01-03,Saturday,'13:00:10.439000
59ce5983-44a1-4bad-9bce-a4680cdca725,Session Started,system,2026-01-03 20:35:23.345000+05:30,2026-01-03,Saturday,'20:35:23.345000
59ce5983-44a1-4bad-9bce-a4680cdca725,_location_special-town-search,application,2026-01-03 20:35:29.831000+05:30,2026-01-03,Saturday,'20:35:29.831000
59ce5983-44a1-4bad-9bce-a4680cdca725,_history_recommended-journey,application,2026-01-03 20:35:29.958000+05:30,2026-01-03,Saturday,'20:35:29.958000
59ce5983-44a1-4bad-9bce-a4680cdca725,_location_from-town,application,2026-01-03 20:35:29.985000+05:30,2026-01-03,Saturday,'20:35:29.985000
59ce5983-44a1-4bad-9bce-a4680cdca725,_user,application,2026-01-03 20:35:30.077000+05:30,2026-01-03,Saturday,'20:35:30.077000
59ce5983-44a1-4bad-9bce-a4680cdca725,_location_special-town-search,application,2026-01-03 20:35:30.235000+05:30,2026-01-03,Saturday,'20:35:30.235000
59ce5983-44a1-4bad-9bce-a4680cdca725,_location_elastic-town-search,application,2026-01-03 20:35:30.477000+05:30,2026-01-03,Saturday,'20:35:30.477000
59ce5983-44a1-4bad-9bce-a4680cdca725,_location_special-town-search,application,2026-01-03 20:35:50.284000+05:30,2026-01-03,Saturday,'20:35:50.284000
