user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
efe2a1d3-8343-4a59-9024-ef5a9669ac06,DeviceInfo,application,2026-01-14 04:16:18.083000+05:30,2026-01-14,Wednesday,'04:16:18.083000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,Session Started,system,2026-01-14 04:16:18.487000+05:30,2026-01-14,Wednesday,'04:16:18.487000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,App Installed,system,2026-01-14 04:16:18.542000+05:30,2026-01-14,Wednesday,'04:16:18.542000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,app_start,application,2026-01-14 04:16:19.085000+05:30,2026-01-14,Wednesday,'04:16:19.085000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,Journey Started,system,2026-01-14 04:16:19.285000+05:30,2026-01-14,Wednesday,'04:16:19.285000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,Push Subscribe Process - Device Registered (Push),system,2026-01-14 04:16:19.572000+05:30,2026-01-14,Wednesday,'04:16:19.572000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,choose_language,application,2026-01-14 04:16:22.985000+05:30,2026-01-14,Wednesday,'04:16:22.985000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,Onboarding_Language,application,2026-01-14 04:16:23.018000+05:30,2026-01-14,Wednesday,'04:16:23.018000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,generate_otp,application,2026-01-14 04:16:36.311000+05:30,2026-01-14,Wednesday,'04:16:36.311000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,Onboarding_get_otp,application,2026-01-14 04:16:36.332000+05:30,2026-01-14,Wednesday,'04:16:36.332000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,Journey Started,system,2026-01-14 04:16:37.167000+05:30,2026-01-14,Wednesday,'04:16:37.167000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,Journey Ended,system,2026-01-14 04:16:37.167000+05:30,2026-01-14,Wednesday,'04:16:37.167000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,_auth_generate-otp,application,2026-01-14 04:16:37.301000+05:30,2026-01-14,Wednesday,'04:16:37.301000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,get_otp,application,2026-01-14 04:16:37.361000+05:30,2026-01-14,Wednesday,'04:16:37.361000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,Onboarding_signup_,application,2026-01-14 04:16:37.382000+05:30,2026-01-14,Wednesday,'04:16:37.382000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,Onboarding_backpressed,application,2026-01-14 04:16:50.483000+05:30,2026-01-14,Wednesday,'04:16:50.483000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,generate_otp,application,2026-01-14 04:16:51.616000+05:30,2026-01-14,Wednesday,'04:16:51.616000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,Onboarding_get_otp,application,2026-01-14 04:16:51.653000+05:30,2026-01-14,Wednesday,'04:16:51.653000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,_auth_generate-otp,application,2026-01-14 04:16:52.862000+05:30,2026-01-14,Wednesday,'04:16:52.862000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,get_otp,application,2026-01-14 04:16:52.877000+05:30,2026-01-14,Wednesday,'04:16:52.877000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,Onboarding_signup_,application,2026-01-14 04:16:52.907000+05:30,2026-01-14,Wednesday,'04:16:52.907000
efe2a1d3-8343-4a59-9024-ef5a9669ac06,resend_otp,application,2026-01-14 04:17:24.177000+05:30,2026-01-14,Wednesday,'04:17:24.177000
