user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
847bc672-ad20-413e-99e1-946a5b38fce9,DeviceInfo,application,2026-01-03 19:25:42.514000+05:30,2026-01-03,Saturday,'19:25:42.514000
847bc672-ad20-413e-99e1-946a5b38fce9,Session Started,system,2026-01-03 19:25:53.633000+05:30,2026-01-03,Saturday,'19:25:53.633000
847bc672-ad20-413e-99e1-946a5b38fce9,App Installed,system,2026-01-03 19:25:53.709000+05:30,2026-01-03,Saturday,'19:25:53.709000
847bc672-ad20-413e-99e1-946a5b38fce9,Journey Started,system,2026-01-03 19:26:04.887000+05:30,2026-01-03,Saturday,'19:26:04.887000
847bc672-ad20-413e-99e1-946a5b38fce9,Session Started,system,2026-01-03 19:26:07.738000+05:30,2026-01-03,Saturday,'19:26:07.738000
847bc672-ad20-413e-99e1-946a5b38fce9,Push Subscribe Process - Device Registered (Push),system,2026-01-03 19:26:08.200000+05:30,2026-01-03,Saturday,'19:26:08.200000
847bc672-ad20-413e-99e1-946a5b38fce9,choose_language,application,2026-01-03 19:26:16.822000+05:30,2026-01-03,Saturday,'19:26:16.822000
847bc672-ad20-413e-99e1-946a5b38fce9,Onboarding_Language,application,2026-01-03 19:26:16.829000+05:30,2026-01-03,Saturday,'19:26:16.829000
847bc672-ad20-413e-99e1-946a5b38fce9,generate_otp,application,2026-01-03 19:26:31.371000+05:30,2026-01-03,Saturday,'19:26:31.371000
847bc672-ad20-413e-99e1-946a5b38fce9,Onboarding_get_otp,application,2026-01-03 19:26:31.393000+05:30,2026-01-03,Saturday,'19:26:31.393000
847bc672-ad20-413e-99e1-946a5b38fce9,Journey Started,system,2026-01-03 19:26:42.541000+05:30,2026-01-03,Saturday,'19:26:42.541000
847bc672-ad20-413e-99e1-946a5b38fce9,Journey Ended,system,2026-01-03 19:26:42.541000+05:30,2026-01-03,Saturday,'19:26:42.541000
847bc672-ad20-413e-99e1-946a5b38fce9,_auth_generate-otp,application,2026-01-03 19:26:52.641000+05:30,2026-01-03,Saturday,'19:26:52.641000
847bc672-ad20-413e-99e1-946a5b38fce9,get_otp,application,2026-01-03 19:26:52.649000+05:30,2026-01-03,Saturday,'19:26:52.649000
847bc672-ad20-413e-99e1-946a5b38fce9,Onboarding_signup_,application,2026-01-03 19:26:52.667000+05:30,2026-01-03,Saturday,'19:26:52.667000
847bc672-ad20-413e-99e1-946a5b38fce9,verify_otp,application,2026-01-03 19:27:19.387000+05:30,2026-01-03,Saturday,'19:27:19.387000
847bc672-ad20-413e-99e1-946a5b38fce9,_auth_verify-otp,application,2026-01-03 19:27:33.797000+05:30,2026-01-03,Saturday,'19:27:33.797000
847bc672-ad20-413e-99e1-946a5b38fce9,enter_otp,application,2026-01-03 19:27:33.811000+05:30,2026-01-03,Saturday,'19:27:33.811000
847bc672-ad20-413e-99e1-946a5b38fce9,User Login,system,2026-01-03 19:27:33.846000+05:30,2026-01-03,Saturday,'19:27:33.846000
847bc672-ad20-413e-99e1-946a5b38fce9,login,application,2026-01-03 19:27:52.732000+05:30,2026-01-03,Saturday,'19:27:52.732000
847bc672-ad20-413e-99e1-946a5b38fce9,Onboarding_Profile Saved,application,2026-01-03 19:27:52.747000+05:30,2026-01-03,Saturday,'19:27:52.747000
847bc672-ad20-413e-99e1-946a5b38fce9,_user,application,2026-01-03 19:27:52.810000+05:30,2026-01-03,Saturday,'19:27:52.810000
847bc672-ad20-413e-99e1-946a5b38fce9,_location_from-town,application,2026-01-03 19:28:02.643000+05:30,2026-01-03,Saturday,'19:28:02.643000
847bc672-ad20-413e-99e1-946a5b38fce9,_user,application,2026-01-03 19:28:10.242000+05:30,2026-01-03,Saturday,'19:28:10.242000
847bc672-ad20-413e-99e1-946a5b38fce9,_user_device,application,2026-01-03 19:29:03.240000+05:30,2026-01-03,Saturday,'19:29:03.240000
847bc672-ad20-413e-99e1-946a5b38fce9,_location_from-town,application,2026-01-03 19:29:03.310000+05:30,2026-01-03,Saturday,'19:29:03.310000
847bc672-ad20-413e-99e1-946a5b38fce9,_history_recommended-journey,application,2026-01-03 19:29:03.424000+05:30,2026-01-03,Saturday,'19:29:03.424000
847bc672-ad20-413e-99e1-946a5b38fce9,_location_special-town-search,application,2026-01-03 19:29:05.520000+05:30,2026-01-03,Saturday,'19:29:05.520000
847bc672-ad20-413e-99e1-946a5b38fce9,_user,application,2026-01-03 19:29:06.228000+05:30,2026-01-03,Saturday,'19:29:06.228000
847bc672-ad20-413e-99e1-946a5b38fce9,_ticket,application,2026-01-03 19:29:12.601000+05:30,2026-01-03,Saturday,'19:29:12.601000
