user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
afa6a776-7514-47c5-9f67-ca427aa44ff2,DeviceInfo,application,2026-01-12 14:14:50.710000+05:30,2026-01-12,Monday,'14:14:50.710000
afa6a776-7514-47c5-9f67-ca427aa44ff2,Session Started,system,2026-01-12 14:14:51.197000+05:30,2026-01-12,Monday,'14:14:51.197000
afa6a776-7514-47c5-9f67-ca427aa44ff2,App Installed,system,2026-01-12 14:14:51.313000+05:30,2026-01-12,Monday,'14:14:51.313000
afa6a776-7514-47c5-9f67-ca427aa44ff2,Push Subscribe Process - Device Registered (Push),system,2026-01-12 14:14:51.379000+05:30,2026-01-12,Monday,'14:14:51.379000
afa6a776-7514-47c5-9f67-ca427aa44ff2,Journey Started,system,2026-01-12 14:14:51.495000+05:30,2026-01-12,Monday,'14:14:51.495000
afa6a776-7514-47c5-9f67-ca427aa44ff2,app_start,application,2026-01-12 14:14:51.634000+05:30,2026-01-12,Monday,'14:14:51.634000
afa6a776-7514-47c5-9f67-ca427aa44ff2,choose_language,application,2026-01-12 14:14:55.486000+05:30,2026-01-12,Monday,'14:14:55.486000
afa6a776-7514-47c5-9f67-ca427aa44ff2,Onboarding_Language,application,2026-01-12 14:14:55.506000+05:30,2026-01-12,Monday,'14:14:55.506000
afa6a776-7514-47c5-9f67-ca427aa44ff2,choose_language,application,2026-01-12 14:14:55.551000+05:30,2026-01-12,Monday,'14:14:55.551000
afa6a776-7514-47c5-9f67-ca427aa44ff2,Onboarding_Language,application,2026-01-12 14:14:55.573000+05:30,2026-01-12,Monday,'14:14:55.573000
afa6a776-7514-47c5-9f67-ca427aa44ff2,Journey Ended,system,2026-01-12 14:14:55.860000+05:30,2026-01-12,Monday,'14:14:55.860000
afa6a776-7514-47c5-9f67-ca427aa44ff2,Journey Started,system,2026-01-12 14:14:55.860000+05:30,2026-01-12,Monday,'14:14:55.860000
afa6a776-7514-47c5-9f67-ca427aa44ff2,Journey Ended,system,2026-01-12 14:14:55.865000+05:30,2026-01-12,Monday,'14:14:55.865000
afa6a776-7514-47c5-9f67-ca427aa44ff2,choose_language,application,2026-01-12 14:14:55.940000+05:30,2026-01-12,Monday,'14:14:55.940000
afa6a776-7514-47c5-9f67-ca427aa44ff2,Onboarding_Language,application,2026-01-12 14:14:55.954000+05:30,2026-01-12,Monday,'14:14:55.954000
afa6a776-7514-47c5-9f67-ca427aa44ff2,generate_otp,application,2026-01-12 14:15:04.247000+05:30,2026-01-12,Monday,'14:15:04.247000
afa6a776-7514-47c5-9f67-ca427aa44ff2,Onboarding_get_otp,application,2026-01-12 14:15:04.264000+05:30,2026-01-12,Monday,'14:15:04.264000
afa6a776-7514-47c5-9f67-ca427aa44ff2,Journey Ended,system,2026-01-12 14:15:04.701000+05:30,2026-01-12,Monday,'14:15:04.701000
